Place,Novice,Gender,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5,#6,#7,#8,#9
141,,Undefined,Anish Naqvi,Sodales HN,9,457,76.2,75,76,78,77,77,74,0,0,0
141,,Undefined,Matt Karkowski,Clemson KS,10,457,76.2,76,81,73,75,78,74,0,0,0
141,,Undefined,Alexandra Berl,Berkeley AB,9,457,76.2,76,72,75,81,80,73,0,0,0
141,,Undefined,Linda Du,Queen's DS,9,457,76.2,78,75,76,79,76,73,0,0,0
141,,Undefined,Kelsea Schulenberg,Clemson SS,11,457,76.2,74,76,80,76,79,72,0,0,0
141,,Undefined,Kathryn Caswell,King's CS,8,457,76.2,73,78,77,79,76,74,0,0,0
141,,Undefined,Quinton Huang,Brown HR,8,457,76.2,77,76,75,78,75,76,0,0,0
141,,Undefined,Elaine He,Brown GH,8,457,76.2,76,78,75,76,77,75,0,0,0
152,,Undefined,Tony Ma,Middlebury IIS LM,8,456,76,77,75,76,76,77,75,0,0,0
152,,Undefined,Daniel Charnis,Columbia HC,10,456,76,78,75,75,78,77,73,0,0,0
152,,Undefined,Matt Sacco,Vermont SW,9,456,76,79,74,75,78,76,74,0,0,0
152,,Undefined,Jaewan Park,Vassar LP,10,456,76,78,76,76,75,76,75,0,0,0
152,,Undefined,Rip Livingston,Stanford LM,8,456,76,77,74,76,75,80,74,0,0,0
157,,Undefined,Venkat Subramariam,Duke GS,8,455,75.8,77,74,79,74,75,76,0,0,0
157,,Undefined,Anshika Niraj,USC KN,10,455,75.8,77,73,73,78,79,75,0,0,0
157,,Undefined,Jordan Mohler,Denver MP,10,455,75.8,75,78,77,74,73,78,0,0,0
157,,Undefined,Olivia Huynh,Sodales HN,9,455,75.8,77,76,77,75,77,73,0,0,0
157,,Undefined,Inbum Lee,Cornell LB,11,455,75.8,76,74,76,74,78,77,0,0,0
157,,Undefined,Brendan Quane,Vermont VQ,9,455,75.8,73,75,81,76,74,76,0,0,0
157,,Undefined,Matt Donaghy,Swarthmore DH,11,455,75.8,74,77,77,75,77,75,0,0,0
157,,Undefined,Liam Kelly,Swarthmore JK,10,455,75.8,80,77,70,78,74,76,0,0,0
